body movements | C0026649
ther drugs | C0013216
pharmacotherapies | C0013216
drug thers | C0013216
drug ther | C0013216
nonarticular rheumatisms | C0553642
soft tissue rheumatisms | C0553642
soft tissue rheumatism | C0553642
non articular rheumatisms | C0553642
non articular rheumatism | C0553642
rheumatism that affects muscle or tendons | C0553642
nonarticular rheumatism | C0553642
non-articular rheumatism | C0553642
myofascial pain | C0553642
rheumatism that affects muscle or tendon | C0553642
non-articular rheumatisms | C0553642
myofascial pains | C0553642
aodd | C0038586
substance use disorders | C0038586
alcohol and other drug use pathologies | C0038586
aod use disorders | C0038586
alcohol or other drug disorder | C0038586
disorder substance use | C0038586
substance use disorder | C0038586
substance use dis | C0038586
substance use diss | C0038586
disorder substance uses | C0038586
alcohol or other drug use disorders | C0038586
alcohol or other drug disorders | C0038586
substance use di | C0038586
substance use dis's | C0038586
alcohol and other drug use pathology | C0038586
chemical use disorders | C0038586
alcohol or other drugs use disorders | C0038586
aodds | C0038586
substance use di's | C0038586
posttraumatic stress diss | C0038436
post traumatic stress syndromes | C0038436
post traumatic stress di's | C0038436
traumatic neuroses | C0038436
post traumatic stress syndrome | C0038436
ptsd | C0038436
posttraumatic stress dis's | C0038436
post-traumatic stress disorder | C0038436
post-traumatic neuroses | C0038436
posttraumatic stress dis | C0038436
traumatic neurosis | C0038436
posttraumatic stress di's | C0038436
post-traumatic stress syndromes | C0038436
ptsd's | C0038436
post traumatic stress dis's | C0038436
post-traumatic stress syndrome | C0038436
post traumatic stress disorders | C0038436
post traumatic stress diss | C0038436
posttraumatic stress disorder | C0038436
posttraumatic neuroses | C0038436
stress dis post traumatic | C0038436
combat fatigue | C0038436
posttraumatic stress disorders | C0038436
post traumatic stress disorder | C0038436
stress dis posttraumatic | C0038436
post-traumatic stress disorders | C0038436
posttraumatic stress di | C0038436
post traumatic stress dis | C0038436
ptsds | C0038436
post traumatic stress di | C0038436
cvd's | C0007222
disorder of cardiovascular systems | C0007222
cvs disease | C0007222
cardiovascular disorder | C0007222
disease of cardiovascular systems | C0007222
disorder of cardiovascular system | C0007222
cvs diseases | C0007222
cardiovascular diseases | C0007222
cvd | C0007222
cardiovascular system disease | C0007222
cardiovasc diss | C0007222
cardiovascular system diseases | C0007222
cv disorders | C0007222
cardiovascular disorders | C0007222
cardiovasc dis | C0007222
disease of cardiovascular system | C0007222
ascvds | C0007222
cvds | C0007222
cardiovascular disease | C0007222
cardiovasc di's | C0007222
ascvd | C0007222
ascvd's | C0007222
cardiovasc di | C0007222
cardiovasc dis's | C0007222
sleep apnoea syndromes | C0037315
unspecified sleep apnea | C0037315
sleep-disordered breathings | C0037315
syndrome sleep apnoeas | C0037315
apnoea syndrome | C0037315
sleep apnea | C0037315
sleep apnoea | C0037315
unspecified sleep apneas | C0037315
sleep apnoea syndrome | C0037315
syndrome sleep apnoea | C0037315
sleep-disordered breathing | C0037315
syndrome sleep apnea | C0037315
apnoea syndromes | C0037315
sleep disordered breathing | C0037315
apnea syndromes | C0037315
sleep hypopnea | C0037315
syndrome sleep apneas | C0037315
apnea syndrome | C0037315
sleep apneas | C0037315
sleep hypopnoeas | C0037315
sleep apnea syndrome | C0037315
sleep apnoeas | C0037315
sleep hypopneas | C0037315
sleep hypopnoea | C0037315
sleep apnea syndromes | C0037315
sleep disordered breathings | C0037315
breathing disorder during sleeping | C0037315
periods of not breathing while asleep | C0037315
gastric reflux | C0017168
gastrooesophageal refluxes | C0017168
gastrooesophageal reflux | C0017168
gastro-esophageal reflux | C0017168
acid refluxes | C0017168
reflux esophageal | C0017168
gastro esophageal reflux | C0017168
gastroesophageal refluxes | C0017168
gastresophageal reflux | C0017168
gers | C0017168
reflux disease esophageal | C0017168
gastro-esophageal reflux diseases | C0017168
reflux gastroesophageal | C0017168
ger | C0017168
esophageal refluxes | C0017168
gastresophageal refluxes | C0017168
gerim | C0017168
gastro-oesophageal reflux | C0017168
gastric acid reflux | C0017168
gastric refluxes | C0017168
gerd | C0017168
gastro oesophageal reflux | C0017168
disease gastro-esophageal refluxes | C0017168
gastro-esophageal refluxes | C0017168
gerd1's | C0017168
gastroesophageal reflux di | C0017168
gastric acid reflux diseases | C0017168
gastroesophageal reflux diss | C0017168
gastroesophageal reflux disease | C0017168
diseases esophageal refluxes | C0017168
esophageal reflux | C0017168
oesophageal refluxes | C0017168
gastresophageal reflux diseases | C0017168
gastro esophageal refluxes | C0017168
gastro-esophageal reflux disease | C0017168
gastroesophageal reflux di's | C0017168
ge reflux | C0017168
gastroesophageal reflux dis | C0017168
gastresophageal reflux disease | C0017168
esophageal reflux diseases | C0017168
oesophageal reflux | C0017168
gastrooesophageal reflux disease | C0017168
disease gastro-esophageal reflux | C0017168
gastric acid reflux disease | C0017168
ge refluxes | C0017168
esophageal reflux disease | C0017168
gerd1s | C0017168
reflux acid | C0017168
gastro-oesophageal reflux disease | C0017168
acid reflux | C0017168
diseases esophageal reflux | C0017168
gastro oesophageal refluxes | C0017168
gastroesophageal reflux diseases | C0017168
reflux | C0017168
gastro-oesophageal reflux diseases | C0017168
refluxes | C0017168
gastrooesophageal reflux diseases | C0017168
gerd1 | C0017168
ger's | C0017168
reflux acids | C0017168
gastric acid refluxes | C0017168
gastroesophageal reflux | C0017168
gastro-oesophageal refluxes | C0017168
gastroesophageal reflux dis's | C0017168
frights | C0015726
scares | C0015726
scared | C0015726
scaring | C0015726
frightened | C0015726
fearfulness | C0015726
frightening | C0015726
afraid | C0015726
fearing | C0015726
fears | C0015726
focused anxiety | C0015726
fear of | C0015726
fearful | C0015726
fear ofs | C0015726
fear of's | C0015726
scare | C0015726
fright | C0015726
fear | C0015726
focused anxieties | C0015726
pulse generator | C1140627
pulse generators | C1140627
unspecified disorder of adrenal glands | C0001621
adrenal disorder glands | C0001621
adrenal gland diss | C0001621
adrenal disorder | C0001621
disease of adrenal gland | C0001621
adrenal disorders | C0001621
adrenal gland disorders | C0001621
disorders of adrenal glands | C0001621
adrenal disorders glands | C0001621
adrenal disease glands | C0001621
disorder of adrenal gland | C0001621
adrenal diseases | C0001621
adrenal gland disease | C0001621
adrenal gland diseases | C0001621
adrenal disorders gland | C0001621
diseases adrenal glands | C0001621
adrenal glands disorders | C0001621
adrenal gland di's | C0001621
disease of adrenal glands | C0001621
adrenal gland dis | C0001621
adrenal gland di | C0001621
adrenal diseases gland | C0001621
adrenal disordered | C0001621
adrenal disease | C0001621
adrenal gland dis's | C0001621
unspecified disorders of adrenal glands | C0001621
adrenal disorder gland | C0001621
adrenal diseases glands | C0001621
adrenal disease gland | C0001621
disorder of adrenal glands | C0001621
adrenal gland disorder | C0001621
character neurosis | C0031212
personality disorder | C0031212
unspecified personality disorder | C0031212
personality disorders | C0031212
neurotic personality disorder | C0031212
disorder personalities | C0031212
personality dis | C0031212
personality diss | C0031212
character neuroses | C0031212
disorder personality | C0031212
character disorder | C0031212
personality di | C0031212
personality di's | C0031212
neurotic personality disorders | C0031212
unspecified personality disorders | C0031212
character disorders | C0031212
personality dis's | C0031212
health physical | C0516977
physical conditions | C0516977
physical conditionings | C0516977
health physicals | C0516977
physical condition | C0516977
conditions physicals | C0516977
conditions physical | C0516977
physical health | C0516977
physical conditioning | C0516977
cardiac rhythm disorder | C0003811
disorder of heart rhythms | C0003811
irregular heartbeat | C0003811
cardiac arrhythmias | C0003811
dysrhythmia | C0003811
disorder of heart rhythm | C0003811
irregular heartbeats | C0003811
abnormal heart rhythms | C0003811
cardiac rhythm disturbance | C0003811
cardiac arrhythmia | C0003811
heart arrhythmias | C0003811
arrhythmia | C0003811
cardiac dysrhythmia | C0003811
arrythmia | C0003811
ectopic beats all types | C0003811
heart arrhythmia | C0003811
cardiac rhythm disorders | C0003811
arrhythmias | C0003811
cardiac dysrhythmias | C0003811
arrythmias | C0003811
dysrhythmias | C0003811
cardiac rhythm disturbances | C0003811
moods | C0026516
mood | C0026516
moody | C0026516
treatment via public health | C2239238
public health | C2239238
responsible | C1273518
responsible to's | C1273518
responsible persons | C1273518
responsible person | C1273518
responsible tos | C1273518
responsible to | C1273518
responsibles | C1273518
person responsibles | C1273518
person responsible | C1273518
flight of ideas | C0233657
myoclonus was seen | C0027066
myoclonus disorders | C0027066
myoclonic disorders | C0027066
disorder characterised by myocloni | C0027066
disorder characterized by myoclonus | C0027066
myoclonic jerking | C0027066
myoclonic jerks | C0027066
myoclonic jerk | C0027066
myocloni | C0027066
myclonic jerks | C0027066
involuntary muscle jerking | C0027066
myoclonus | C0027066
disorder characterized by myocloni | C0027066
myoclonic disorder | C0027066
myoclonus disorder | C0027066
disorder characterised by myoclonus | C0027066
electrode | C0013812
electrodes | C0013812
seizure diss | C0014544
epileptic seizures | C0014544
disorder epilepsy | C0014544
epilepsies | C0014544
syndrome seizures | C0014544
epileptic disorders | C0014544
disorder seizure | C0014544
disorders seizures | C0014544
seizures syndrome | C0014544
seizure dis's | C0014544
seizure syndrome | C0014544
disorders epileptic | C0014544
